ID;Text;Date;URL
SN_001;T’en a profité pour allé visité les crânes de tes frères et sœurs algériens qui sont encore au musée national de Paris ? 🥰 Ne t’en fais pas, les athlètes en verront assez lorsqu’ils vont nager à la Seine et découvrir les cadavres de tes ancêtres 🥰;2024-07-21 10:12:47;https://twitter.com/Bixby0001/status/1814845948733821306
SN_002;Le Parisien en otage 😔 et  Les 1,4 milliards pour la Seine qui auraient été mieux pour les hôpitaux,  ou les retraites, ou contre la pédophilie;2024-07-21 10:12:23;https://twitter.com/sudtalie2/status/1814845848158658713
SN_003;Étonnant. Et dans les hauts de Seine ou les Yvelines aises, terrains plus conquis, moins bobo vous ne présentiez pas de candidats, avez laissé la place à ensemble. Alors que vous avez des élus d’expérience?;2024-07-21 10:10:40;https://twitter.com/philippeFASCINT/status/1814845417927962981
SN_004;"En combi Quechua dans la Seine ? 
Encore des choix de combats politiques pour le moins hasardeux dans les territoires où je ne pense pas que la gauche ait le luxe de faire des erreurs.";2024-07-21 10:08:22;https://twitter.com/domi_1703/status/1814844839017509304
SN_005;"Alors déjà que j’ai du mal à me baigner dans la mer 🌊 de Saint-Georges-De-Didonne près de Royan… Alors la Seine, n’en parlons même pas. De même que la Loire… Comme quoi la débilité humaine n’a pas de race… Elle est juste universelle hélas… 😤😢
Merci Hidalgo pour la démago !";2024-07-21 10:04:17;https://twitter.com/NicosBossisFCN/status/1814843813011046662
SN_006;Pourquoi alerter? C'est cohérent ave les baignades sans la.Seine, non? Et qui sont les imbéciles qui vont acheté ces merdes? Ceux qui ont le pass? Le QR code? 😜🤪😜🤪😜🤣😂🤣😂🤣;2024-07-21 09:58:39;https://twitter.com/clobala2/status/1814842392568029685
SN_007;Si la Seine serait 😳;2024-07-21 09:52:26;https://twitter.com/pammmnn/status/1814840828331733120
SN_008;Proche de la seine uniquement;2024-07-21 09:50:24;https://twitter.com/k_nji750/status/1814840316815430122
SN_009;Si la Seine serait comme ça à Paris, elle redeviendrais exactement la même en a peine 5 ans;2024-07-21 09:46:58;https://twitter.com/ddendeLaD/status/1814839453594030425
SN_010;"Ya pas a dire i
On a vraiment des cons au gouvernement dans ce pays, c'est pas possible autrement 🤡🙃🤦
Dépolluer la seine soit disant pour y coller un défilé de bateaux polluants pour la cérémonie d'ouverture.
Bordel,j'ai plus les mots !!🤦🤦🤦";2024-07-21 09:46:55;https://twitter.com/Lili90829487267/status/1814839440478458027
SN_011;"Ya pas a dire i
On a vraiment des cons au gouvernement dans ce pays, c'est pas possible autrement 🤡🙃🤦
Dépolluer la seine ""soit disant"" pour y coller un défilé de bateaux polluants pour la cérémonie d'ouverture.
Bordel,j'ai plus les mots !!🤦🤦🤦";2024-07-21 09:45:43;https://twitter.com/Lili90829487267/status/1814839137553260624
SN_012;Faut etre complètement malade pour se baigner dans la seine;2024-07-21 09:44:35;https://twitter.com/susuzkii/status/1814838852479045946
SN_013;Pour s'organiser en avance que les gens sont en train de se baigner dans la seine.;2024-07-21 09:42:52;https://twitter.com/Ize_Onion/status/1814838420058849782
SN_014;"Les parisiens
 Restez avec  vos rats et votre seine pourri,  
Nous on à nos petites rivières toutes propres.";2024-07-21 09:40:55;https://twitter.com/Lauvergnat16/status/1814837930042540494
SN_015;La Seine propre aucune ville s’assoit à la table de paname;2024-07-21 09:40:32;https://twitter.com/BilalBkb/status/1814837834567565391
SN_016;Donc les gens sont allés nager dans la seine qui trimbale les matières fécales de millions d'habitants;2024-07-21 09:37:21;https://twitter.com/mbk28/status/1814837033967157491
SN_017;Voilla enfin merci je remercie tous le monde d’avoir lavais la Seine sa me donne envie de nager dedans (j’vais jamais le faire même si l’eau elle est bleu);2024-07-21 09:35:11;https://twitter.com/Sami67916456/status/1814836486631489590
SN_018;J’imagine pas le prix de tout à Paris si la Seine était comme ça;2024-07-21 09:32:35;https://twitter.com/HENRI_RENE1960/status/1814835834018836667
SN_019;Touristes qui se plaignent, chiffres d'affaires des commerces, restaurateurs en chute libre,QR code qui sert a rien,3 millions de tickets invendus, prestation du 14 juillet totalement ridicule, politocards qui font les clowns dans la seine !;2024-07-21 09:28:51;https://twitter.com/jeanbonno29/status/1814834895014723918
SN_020;Si j'ouvre ma gueule je saute. Quand on connaît l'historique de la Seine vous êtes en train de créer quelque chose de mauvais;2024-07-21 09:26:27;https://twitter.com/TitiCrevett3/status/1814834288698720704
SN_021;"MACRON attend de voir combien de malades et éventuellement de morts pour faire un plongeon dans la Seine après les JO.

JO de Paris 2024 : Emmanuel Macron se baignera dans la Seine, mais ""pas forcément"" avant les Jeux olympiques https://t.co/XmFpernrKb via @ladepechedumidi";2024-07-21 09:26:00;https://twitter.com/PierreMOTI/status/1814834177344242145
SN_022;Va repêcher tes ancêtres dans la seine sale pute au lieu de parler du Maroc;2024-07-21 09:25:39;https://twitter.com/Ivar_FCB22/status/1814834087233781952
SN_023;Imaginez que d'ici vendredi prochain on rapporte des tas de cas de gens hospitalisés en urgence voire pire pour avoir piqué une tête... Toute cette histoire de compétition dans la Seine tomberait... A l'eau.;2024-07-21 09:24:29;https://twitter.com/MrHumbleBE/status/1814833793825489104
SN_024;en mode c eux qui vont se baigner dans la seine;2024-07-21 09:22:08;https://twitter.com/205Mister/status/1814833202692849985
SN_025;Y’a des morts dans la Seine 💀🙃;2024-07-21 09:15:32;https://twitter.com/barjo_r/status/1814831542998290603
SN_026;Au hasard par le métro qui continue de circuler sous la Seine...;2024-07-21 09:14:15;https://twitter.com/ULHYSSE/status/1814831221706309779
SN_027;Comment les gens qui se baignent dans la Seine imaginais qu’elle serais 🤦🏾‍♀️;2024-07-21 09:12:47;https://twitter.com/prettyindivn/status/1814830851391144247
SN_028;"https://t.co/fpg541ykDu
Remplacement de serrure.
Changement de votre serrure le jour même à Paris ou une ville voisine comme par exemple Maison Alfort, Neuilly Sur Seine, Les Lilas ?  
Serrurier Paris pas cher tel 01 79 75 85 95 urgence 24/24";2024-07-21 09:11:40;https://twitter.com/GauthierParis18/status/1814830571291361317
SN_029;Exactement. Quelle hypocrisie !! J'espère qu'elle aura des boutons et des pertes de cheveux cette hidalgo avec sa baignade dans la seine. Tfouuu elle me dégoûte;2024-07-21 09:08:22;https://twitter.com/michelriwala/status/1814829741578322265
SN_030;Depuis quand la Seine est jolie comme une plage de saint tropez;2024-07-21 09:07:52;https://twitter.com/amon243_/status/1814829614339862553
SN_031;Ils vont les jeter dans la seine, ils vont rien comprendre !;2024-07-21 09:05:02;https://twitter.com/Fidel478/status/1814828901773853035
SN_032;Oui je sais et ils sont pas les 1er à avoir publié d’ailleurs. Ça a été fait par une IA n’empêche avec tout ce qu’il y a au fond de la Seine ça ils auront jamais ce résultat;2024-07-21 09:03:20;https://twitter.com/ateyababe/status/1814828473422143515
SN_033;Nous on peut aller se faire foutre même les bases de loisirs c’est la même eau sale que la Seine 💀;2024-07-21 09:00:34;https://twitter.com/djzr_h/status/1814827775183778135
SN_034;"Il y en as qui prennent les gens pour des demeuré 🥲

Filtre la seine pendant qu'ils y sont ils vont déssalé la mer 😅";2024-07-21 08:59:50;https://twitter.com/infinidee_s69/status/1814827590407925935
SN_035;j ai fais un rêve l eau de la seine etait comme ca et on nageait tous dedans avc mes potes et tt, ct incroyable l un de mes meilleurs rêve;2024-07-21 08:57:09;https://twitter.com/assiiou77/status/1814826918170013943
SN_036;A ce niveau là, il faudrait demander de faire commercialiser l’eau de la Seine, cela se vendrait à prix d’or.;2024-07-21 08:56:14;https://twitter.com/SpiritOf_Glory/status/1814826684610200003
SN_037;Ducoup t’a sauté dans la seine si je comprends bien ?;2024-07-21 08:55:29;https://twitter.com/ouicestout/status/1814826495421902925
SN_038;si la seine ressemblait à ça ? La république dominicaine peut aller se faire foutre hein;2024-07-21 08:53:12;https://twitter.com/ziellgra/status/1814825923625046116
SN_039;Ben sauf que c'est pas les mêmes !!!! Ceux qui se baignent dans le seine etaient sans doute réfractaire au masque !;2024-07-21 08:53:05;https://twitter.com/Anthony_Vegat/status/1814825891735691420
SN_040;C’est quelle Seine ça ?;2024-07-21 08:52:46;https://twitter.com/LahOumou1/status/1814825811955847314
SN_041;Le reve d’avoir un seine propre comme l’aar a berne;2024-07-21 08:48:59;https://twitter.com/amar__SG/status/1814824860817719611
SN_042;Tu me fais une Seine en public la ?;2024-07-21 08:48:36;https://twitter.com/TookhertotheeO/status/1814824764986282437
